"val","langCode","translation"
"a.2033.text","en","A menudo necesito ayuda de otros usuarios para solucionar problemas con mi equipo."
"a.2034.text","en","Ya puedo resolver algunos problemas con mi ordenador yo solo."
"a.2035.text","en","Puedo solucionar los problemas de mi equipo yo solo."
"a.2036.text","en","No tengo ningún o sólo un poco de conocimiento sobre Linux."
"a.2037.text","en","Ya he usado Linux para algunos propósitos."
"a.2038.text","en","Tengo un buen conocimiento del sistema operativo Linux."
"a.2039.text","en","Deseo utilizar los valores predeterminados en el asistente de instalación."
"a.2040.text","en","No necesito valores preestablecidos en los asistentes de instalación o mientras realizo la configuración del sistema."
"a.2041.text","en","Prefiero hacer todas las configuraciones usando interfaces gráficas por mi cuenta"
"a.2042.text","en","Quiero instalar Linux de forma ""clásica"" en el disco duro de mi ordenador."
"a.2043.text","en","Quiero instalar Linux en una unidad flash USB."
"a.2044.text","en","Quiero probar Linux primero arrancando desde USB o DVD sin cambiar nada en mi ordenador."
"a.2045.text","en","Puedo resolver mis problemas usando guías de páginas wiki o tutoriales."
"a.2046.text","en","Prefiero pedir ayuda a otros usuarios."
"a.2047.text","en","Prefiero una ventana como interfaz de usuario."
"a.2048.text","en","Prefiero un macOS como interfaz de usuario."
"a.2049.text","en","No prefiero ningún estilo de interfaz de usuario."
"a.2050.text","en","Puedo pagar una cuota por usar la distribución."
"a.2051.text","en","Prefiero una distribución gratuita."
"a.2052.text","en","Prefiero una distribución que envíe todos los programas que necesito para empezar a trabajar inmediatamente después de la instalación."
"a.2053.text","en","Deseo seleccionar los programas que instalaré yo mismo."
"a.2054.text","en","Quiero usar licencias libres tanto como pueda"
"a.2055.text","en","Estoy bien con licencias no libres siempre y cuando mi sistema funcione."
"a.2056.text","en","Si mejora mi experiencia de usuario, estoy de acuerdo con el uso de estos servicios en línea."
"a.2057.text","en","No quiero esto."
"a.2058.text","en","Esto es importante para mí."
"a.2059.text","en","No me gusta esto. Instalaré iconos, fondos de pantalla y temas por mi cuenta."
"a.2060.text","en","Quiero instalar mis programas usando una especie de ""App store""."
"a.2061.text","en","Quiero instalar software principalmente usando comandos de terminal."
"a.2062.text","en","Prefiero las actualizaciones rápidas."
"a.2063.text","en","Prefiero las actualizaciones estables."
"a.2064.text","en","Quiero usar Linux para uso diario."
"a.2065.text","en","Quiero usar Linux para la navegación web anónima."
"a.2066.text","en","Quiero usar Linux para el rescate de datos."
"a.2067.text","en","Prefiero una distribución con el apoyo de los editores de juegos."
"a.2068.text","en","Quiero usar la distribución para propósitos científicos."
"a.2069.text","en","Mi ordenador debería soportar la arquitectura de 64 bits (todos los ordenadores de los últimos 5 años deberían tener soporte para esto)."
"a.2070.text","en","No estoy seguro de esto y/o mi ordenador ya tiene problemas de rendimiento."
"a.2071.text","en","Deseo ejecutar todas las aplicaciones en contenedores aislados. Soy consciente de que esto puede hacer que la distribución sea más difícil de usar."
